Sectors,Sub Sectors and Economic Activity,Year,Expenditure
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",17. Manufacture of Machinery and Equipment,2007-08,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","18. Electricity, Gas, Steam and Water Supply",2007-08,1918.01
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","19. Land Transport, Transport via Pipelines",2007-08,75.84
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",Total R&D Expenditure (Rs Crore) (B),2007-08,3251.29
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",GDP by industry of origin (at factor cost Rs. Crores),2007-08,1205458.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",Ratio of R&D expenditure to GDP by industry of origin (%),2007-08,0.27
(C) Transport & Communication,1. Manufacture of Motor Vehicles,2007-08,66.04
(C) Transport & Communication,2. Manufacture of other Transport Equipment,2007-08,0.0
(C) Transport & Communication,3. Telecommunications,2007-08,180.58
(C) Transport & Communication,4. Computer and Related Activities,2007-08,292.14
(C) Transport & Communication,Total R&D Expenditure(Rs in Crore) ( C ),2007-08,538.76
(C) Transport & Communication,GDP by industry of origin (at factor cost Rs. Crores),2007-08,1150044.0
(C) Transport & Communication,Ratio of R&D expenditure to GDP by industry of origin (%),2007-08,0.05
(D) Public Administration & Defence and other Services,1. Public Administration and Defence,2007-08,6123.98
(D) Public Administration & Defence and other Services,2. Education,2007-08,502.94
(D) Public Administration & Defence and other Services,3. Health and Social Work,2007-08,667.4
(D) Public Administration & Defence and other Services,4. Service Sector,2007-08,6234.68
(D) Public Administration & Defence and other Services,5. Others Please Specify,2007-08,514.75
(D) Public Administration & Defence and other Services,Total R&D Expenditure (Rs Crore) (D),2007-08,14043.76
(D) Public Administration & Defence and other Services,GDP by industry of origin (at factor cost Rs. Crores),2007-08,573790.0
(D) Public Administration & Defence and other Services,Ratio of R&D expenditure to GDP by industry of origin (%),2007-08,2.45
Total ,R&D Expenditure(Rs in Crore) (A+B+C+D),2007-08,22973.42
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","1. Agriculture, Hunting and Related Service Activities",2008-09,5709.25
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","2. Forestry, Logging and Related Service Activities",2008-09,452.4
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","3. Fishing, Operation of Fish Hatcheries and Fish Farms",2008-09,213.28
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","4. Mining of Coal and Lignite, Extraction of Peat",2008-09,10.0
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",5. Extraction of Crude Petroleum and Natural Gas,2008-09,8.05
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","6. Mining of Metal Ores, Other Mining and Quarrying",2008-09,34.65
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",Total R&D Expenditure(Rs Crore) (A),2008-09,6427.64
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",GDP by industry of origin (at factor cost Rs. Crores),2008-09,1083032.0
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",Ratio of R&D expenditure to GDP by industry of origin (%),2008-09,0.59
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",1. Manufacture of Food Products and Beverages,2008-09,170.18
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",2. Manufacture of Tobacco Products,2008-09,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",3. Manufacture of Textiles,2008-09,132.62
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","4. Manufacture of Wearing Apparel, Dressing and Dyeing of Fur",2008-09,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","5. Tanning and Dressing of Leather, Luggage Handbags etc.",2008-09,37.08
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",6. Manufacture of Wood and Products of Wood and Cork,2008-09,9.93
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",7. Manufacture of Paper and Paper Products,2008-09,34.49
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","8. Manufacture of Coke, Refined Petroleum Products and Nuclear Fuel",2008-09,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","9. Manufacture of Chemicals, Chemical Products & Fertilizers",2008-09,64.72
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",10. Drugs & Pharmaceuticals,2008-09,978.13
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",11. Manufacture of Rubber and Plastic Products,2008-09,21.16
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",12. Manufacture of other Non-Metallic Mineral Products,2008-09,34.82
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",13. Manufacture of Basic Metals,2008-09,90.83
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",14. Manufacture of Fabricated Metal Products,2008-09,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","15. Manufacture of Medical, Precision and Optical Instruments",2008-09,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",16. Manufacture of Electrical Machinery and Apparatus,2008-09,0.46
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",17. Manufacture of Machinery and Equipment,2008-09,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","18. Electricity, Gas, Steam and Water Supply",2008-09,2575.43
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","19. Land Transport, Transport via Pipelines",2008-09,106.31
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",Total R&D Expenditure (Rs Crore) (B),2008-09,4256.16
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",GDP by industry of origin (at factor cost Rs. Crores),2008-09,1360426.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",Ratio of R&D expenditure to GDP by industry of origin (%),2008-09,0.31
(C) Transport & Communication,1. Manufacture of Motor Vehicles,2008-09,90.76
(C) Transport & Communication,2. Manufacture of other Transport Equipment,2008-09,0.0
(C) Transport & Communication,3. Telecommunications,2008-09,223.69
(C) Transport & Communication,4. Computer and Related Activities,2008-09,347.44
(C) Transport & Communication,Total R&D Expenditure(Rs in Crore) ( C ),2008-09,661.89
(C) Transport & Communication,GDP by industry of origin (at factor cost Rs. Crores),2008-09,1310845.0
(C) Transport & Communication,Ratio of R&D expenditure to GDP by industry of origin (%),2008-09,0.05
(D) Public Administration & Defence and other Services,1. Public Administration and Defence,2008-09,7720.45
(D) Public Administration & Defence and other Services,2. Education,2008-09,801.57
(D) Public Administration & Defence and other Services,3. Health and Social Work,2008-09,1082.42
(D) Public Administration & Defence and other Services,4. Service Sector,2008-09,6961.87
(D) Public Administration & Defence and other Services,5. Others Please Specify,2008-09,707.42
(D) Public Administration & Defence and other Services,Total R&D Expenditure (Rs Crore) (D),2008-09,17273.72
(D) Public Administration & Defence and other Services,GDP by industry of origin (at factor cost Rs. Crores),2008-09,703895.0
(D) Public Administration & Defence and other Services,Ratio of R&D expenditure to GDP by industry of origin (%),2008-09,2.45
Total ,R&D Expenditure(Rs in Crore) (A+B+C+D),2008-09,28619.4
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","1. Agriculture, Hunting and Related Service Activities",2009-10,6196.18
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","2. Forestry, Logging and Related Service Activities",2009-10,489.43
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","3. Fishing, Operation of Fish Hatcheries and Fish Farms",2009-10,272.72
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","4. Mining of Coal and Lignite, Extraction of Peat",2009-10,11.0
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",5. Extraction of Crude Petroleum and Natural Gas,2009-10,27.57
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying","6. Mining of Metal Ores, Other Mining and Quarrying",2009-10,50.2
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",Total R&D Expenditure(Rs Crore) (A),2009-10,7047.1
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",GDP by industry of origin (at factor cost Rs. Crores),2009-10,1236765.0
"(A) Agriculture, Forestry & Fishing, Mining & Quarrying",Ratio of R&D expenditure to GDP by industry of origin (%),2009-10,0.57
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",1. Manufacture of Food Products and Beverages,2009-10,212.06
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",2. Manufacture of Tobacco Products,2009-10,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",3. Manufacture of Textiles,2009-10,157.02
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","4. Manufacture of Wearing Apparel, Dressing and Dyeing of Fur",2009-10,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","5. Tanning and Dressing of Leather, Luggage Handbags etc.",2009-10,43.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",6. Manufacture of Wood and Products of Wood and Cork,2009-10,11.05
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",7. Manufacture of Paper and Paper Products,2009-10,50.17
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","8. Manufacture of Coke, Refined Petroleum Products and Nuclear Fuel",2009-10,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","9. Manufacture of Chemicals, Chemical Products & Fertilizers",2009-10,112.8
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",10. Drugs & Pharmaceuticals,2009-10,1206.43
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",11. Manufacture of Rubber and Plastic Products,2009-10,27.24
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",12. Manufacture of other Non-Metallic Mineral Products,2009-10,33.91
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",13. Manufacture of Basic Metals,2009-10,70.6
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",14. Manufacture of Fabricated Metal Products,2009-10,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","15. Manufacture of Medical, Precision and Optical Instruments",2009-10,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",16. Manufacture of Electrical Machinery and Apparatus,2009-10,0.7
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",17. Manufacture of Machinery and Equipment,2009-10,0.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","18. Electricity, Gas, Steam and Water Supply",2009-10,3430.76
"(B) Manufacturing, Construction, Electricity Gas & Water Supply","19. Land Transport, Transport via Pipelines",2009-10,144.77
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",Total R&D Expenditure (Rs Crore) (B),2009-10,5500.51
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",GDP by industry of origin (at factor cost Rs. Crores),2009-10,1521744.0
"(B) Manufacturing, Construction, Electricity Gas & Water Supply",Ratio of R&D expenditure to GDP by industry of origin (%),2009-10,0.36
(C) Transport & Communication,1. Manufacture of Motor Vehicles,2009-10,93.31
(C) Transport & Communication,2. Manufacture of other Transport Equipment,2009-10,0.0
(C) Transport & Communication,3. Telecommunications,2009-10,208.65
(C) Transport & Communication,4. Computer and Related Activities,2009-10,474.47
(C) Transport & Communication,Total R&D Expenditure(Rs in Crore) ( C ),2009-10,776.42
(C) Transport & Communication,GDP by industry of origin (at factor cost Rs. Crores),2009-10,1485476.0
(C) Transport & Communication,Ratio of R&D expenditure to GDP by industry of origin (%),2009-10,0.05
(D) Public Administration & Defence and other Services,1. Public Administration and Defence,2009-10,8498.89
(D) Public Administration & Defence and other Services,2. Education,2009-10,823.92
(D) Public Administration & Defence and other Services,3. Health and Social Work,2009-10,1149.32
(D) Public Administration & Defence and other Services,4. Service Sector,2009-10,8192.51
(D) Public Administration & Defence and other Services,5. Others Please Specify,2009-10,732.54
(D) Public Administration & Defence and other Services,Total R&D Expenditure (Rs Crore) (D),2009-10,19397.18
(D) Public Administration & Defence and other Services,GDP by industry of origin (at factor cost Rs. Crores),2009-10,885314.0
(D) Public Administration & Defence and other Services,Ratio of R&D expenditure to GDP by industry of origin (%),2009-10,2.19
Total ,R&D Expenditure(Rs in Crore) (A+B+C+D),2009-10,32721.22
